Country,Metric,Geography level,Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bulgaria,Broadband coverage (>100Mbps),Total,Households,"  59,757 ","  453,057 ","  470,649 ","  552,620 ","  908,673 ","  1,435,886 ","  1,956,574 ","  2,335,110 ","  2,577,394 ","  2,617,976 ","  2,623,288 "
Bulgaria,Broadband coverage (>1Gbps),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  187,818 ","  248,000 ","  469,099 ","  609,908 ","  794,906 "
Bulgaria,Broadband coverage (>1Gbps upload and download),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bulgaria,Fixed broadband coverage,Total,Households,"  2,780,771 ","  2,858,605 ","  2,860,062 ","  2,829,168 ","  2,817,188 ","  2,799,670 ","  2,749,661 ","  2,763,890 ","  2,796,150 ","  2,818,419 ","  2,779,209 "
Bulgaria,NGA coverage,Total,Households,"  2,036,037 ","  2,085,945 ","  2,157,545 ","  2,202,506 ","  2,284,201 ","  2,360,214 ","  2,427,315 ","  2,530,698 ","  2,654,943 ","  2,690,052 ","  2,685,648 "
Bulgaria,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  1,877,295 ","  2,173,209 ","  2,345,497 ","  2,439,632 ","  2,484,082 "
Bulgaria,VHCN coverage (as defined by BEREC),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bulgaria,DSL,Total,Households,"  2,555,953 ","  2,556,886 ","  2,557,333 ","  2,533,053 ","  2,519,681 ","  2,504,254 ","  2,460,447 ","  2,469,070 ","  2,462,021 ","  2,434,440 ","  2,395,569 "
Bulgaria,VDSL,Total,Households,  - ,  - ,  - ,  - ,  - ,"  43,178 ","  253,677 ","  382,902 ","  523,923 ","  622,978 ","  629,723 "
Bulgaria,VDSL 2 Vectoring,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,  - ,  - ,  - ,  - ,  - 
Bulgaria,FTTP,Total,Households,"  686,800 ","  850,888 ","  969,047 ","  1,136,515 ","  1,338,840 ","  1,589,576 ","  1,877,295 ","  2,173,209 ","  2,345,497 ","  2,439,632 ","  2,484,082 "
Bulgaria,Cable modem DOCSIS 3.0,Total,Households,"  1,734,225 ","  1,845,960 ","  1,891,214 ","  1,891,214 ","  1,900,895 ","  1,886,382 ","  1,977,316 ","  2,020,555 ","  2,032,215 ","  2,020,486 ","  1,987,641 "
Bulgaria,Cable modem DOCSIS 3.1,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,  - ,  - ,  - ,  - ,  - 
Bulgaria,FWA,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  539,496 ","  541,535 ","  540,355 ","  534,292 ","  525,629 "
Bulgaria,LTE,Total,Households,  - ,"  1,083,569 ","  1,445,178 ","  2,274,197 ","  2,719,637 ","  2,893,137 ","  2,862,332 ","  2,886,455 ","  2,880,166 ","  2,847,847 ",#N/A
Bulgaria,Average LTE coverage,Total,Households,#N/A,#N/A,#N/A,"  1,951,510 ","  2,118,603 ","  2,335,806 ","  2,320,784 ","  2,332,270 ","  2,345,517 ",#N/A,#N/A
Bulgaria,5G,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,  - ,"  1,155,389 ","  1,915,515 ","  1,986,888 "
Bulgaria,5G in the 3.4–3.8 GHz band,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  1,044,477 ","  1,263,483 "
Bulgaria,Satellite,Total,Households,"  3,005,589 ","  3,005,589 ","  3,005,289 ","  2,971,692 ","  2,959,108 ","  2,930,380 ","  2,877,314 ","  2,888,188 ","  2,881,895 ","  2,849,557 ","  2,803,352 "
Bulgaria,Overall broadband coverage,Total,Households,"  2,998,827 ","  3,001,269 ","  3,004,624 ","  2,971,692 ","  2,959,108 ","  2,930,380 ",#N/A,#N/A,#N/A,#N/A,#N/A
Bulgaria,DOCSIS 3.0 & FTTP coverage,Total,Households,#N/A,#N/A,#N/A,#N/A,"  2,206,345 ","  2,185,784 ",#N/A,#N/A,#N/A,#N/A,#N/A
Bulgaria,Cable modem,Total,Households,"  1,879,900 ","  1,938,294 ","  1,951,762 ","  1,957,247 ","  1,969,354 ","  1,951,687 ",#N/A,#N/A,#N/A,#N/A,#N/A
Bulgaria,WiMAX,Total,Households,"  1,940,557 ","  1,940,557 ","  1,941,737 ",  - ,  - ,  - ,#N/A,#N/A,#N/A,#N/A,#N/A
Bulgaria,HSPA,Total,Households,"  2,992,064 ","  2,993,001 ","  3,002,885 ","  2,971,692 ","  2,959,108 ","  2,930,380 ",#N/A,#N/A,#N/A,#N/A,#N/A
Croatia,Land area,Total,km squared,"  56,389 ","  56,389 ","  56,389 ","  56,389 ","  56,389 ","  56,389 ","  56,389 ","  56,389 ","  56,258 ","  56,258 ","  56,258 "
Croatia,Population,Total,###,"  4,398,150 ","  4,262,140 ","  4,246,809 ","  4,225,316 ","  4,217,377 ","  4,183,742 ","  4,105,493 ","  4,076,246 ","  4,058,165 ","  4,036,355 ","  3,829,989 "
Croatia,Households,Total,###,"  1,574,884 ","  1,527,561 ","  1,522,191 ","  1,514,698 ","  1,511,702 ","  1,499,881 ","  1,455,334 ","  1,424,090 ","  1,413,631 ","  1,410,478 ","  1,435,440 "
Croatia,Broadband coverage (>2Mbps),Total,Households,"  1,502,669 ","  1,463,086 ","  1,462,274 ","  1,460,913 ","  1,492,283 ","  1,496,822 ","  1,453,513 ","  1,422,205 ",#N/A,#N/A,#N/A
Croatia,Broadband coverage (>30Mbps),Total,Households,"  494,731 ","  685,234 ","  747,218 ","  791,505 ","  911,317 ","  1,266,948 ","  1,246,144 ","  1,229,460 ","  1,241,041 ","  1,241,292 ","  1,278,223 "
Croatia,Broadband coverage (>100Mbps),Total,Households,"  300,803 ","  332,785 ","  334,898 ","  383,154 ","  430,515 ","  566,058 ","  634,093 ","  658,579 ","  878,085 ","  950,940 ","  1,025,638 "
Croatia,Broadband coverage (>1Gbps),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  85,646 ","  310,451 ","  739,062 ","  811,791 ","  973,091 "
Croatia,Broadband coverage (>1Gbps upload and download),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  80,658 ","  154,172 "
Croatia,Fixed broadband coverage,Total,Households,"  1,512,763 ","  1,475,305 ","  1,474,462 ","  1,468,953 ","  1,500,652 ","  1,497,950 ","  1,453,513 ","  1,422,205 ","  1,411,771 ","  1,395,898 ","  1,421,897 "
Croatia,NGA coverage,Total,Households,"  523,723 ","  725,389 ","  791,006 ","  907,886 ","  1,021,915 ","  1,241,108 ","  1,246,144 ","  1,229,460 ","  1,241,041 ","  1,242,977 ","  1,278,223 "
Croatia,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  628,955 ","  662,366 ","  739,112 ","  867,107 ","  973,091 "
Croatia,VHCN coverage (as defined by BEREC),Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Croatia,DSL,Total,Households,"  1,484,599 ","  1,444,740 ","  1,442,064 ","  1,437,994 ","  1,494,077 ","  1,496,020 ","  1,451,692 ","  1,420,553 ","  1,409,911 ","  1,384,156 ","  1,407,424 "
Croatia,VDSL,Total,Households,"  265,000 ","  480,179 ","  547,081 ","  668,834 ","  879,749 ","  1,153,177 ","  1,176,249 ","  1,155,401 ","  1,105,352 ","  1,100,971 ","  1,117,819 "
Croatia,VDSL 2 Vectoring,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  137,301 ","  142,486 ","  159,613 ","  170,817 ","  199,932 "
Croatia,FTTP,Total,Households,"  109,231 ","  134,864 ","  153,054 ","  236,018 ","  268,529 ","  350,771 ","  450,768 ","  506,428 ","  547,711 ","  760,941 ","  891,208 "
Croatia,Cable modem DOCSIS 3.0,Total,Households,"  299,135 ","  333,339 ","  349,691 ","  407,594 ","  427,711 ","  484,218 ","  496,294 ","  508,094 ","  512,449 ","  495,450 ","  496,951 "
Croatia,Cable modem DOCSIS 3.1,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  472,894 ","  483,805 ","  487,549 ","  469,889 ","  472,001 "
Croatia,FWA,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  71,996 ","  76,424 ","  62,857 ","  542,192 ","  638,801 "
Croatia,LTE,Total,Households,"  384,369 ","  887,990 ","  1,048,623 ","  1,364,742 ","  1,433,256 ","  1,463,251 ","  1,445,864 ","  1,416,388 ","  1,406,351 ","  1,396,691 ",#N/A
Croatia,Average LTE coverage,Total,Households,#N/A,#N/A,#N/A,"  1,010,775 ","  1,107,843 ","  1,416,578 ","  1,429,617 ","  1,399,967 ","  1,396,667 ",#N/A,#N/A
Croatia,5G,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,  - ,"  477,960 ","  1,163,454 ","  1,197,584 "
Croatia,5G in the 3.4–3.8 GHz band,Total,Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"  525,033 ","  573,745 "
Croatia,Satellite,Total,Households,"  1,574,884 ","  1,527,561 ","  1,522,191 ","  1,514,698 ","  1,511,702 ","  1,499,881 ","  1,455,334 ","  1,424,090 ","  1,413,631 ","  1,410,478 ","  1,435,440 "
Croatia,Overall broadband coverage,Total,Households,"  1,537,131 ","  1,511,609 ","  1,507,994 ","  1,508,644 ","  1,507,484 ","  1,498,386 ",#N/A,#N/A,#N/A,#N/A,#N/A
Croatia,DOCSIS 3.0 & FTTP coverage,Total,Households,#N/A,#N/A,#N/A,#N/A,"  523,662 ","  589,120 ",#N/A,#N/A,#N/A,#N/A,#N/A
Croatia,Cable modem,Total,Households,"  327,657 ","  353,748 ","  378,312 ","  407,594 ","  427,711 ","  484,218 ",#N/A,#N/A,#N/A,#N/A,#N/A
Croatia,WiMAX,Total,Households,"  1,475 ","  30,676 ","  30,883 ",  - ,"  2,525 ","  2,517 ",#N/A,#N/A,#N/A,#N/A,#N/A
Croatia,HSPA,Total,Households,"  1,479,296 ","  1,492,510 ","  1,491,139 ","  1,502,590 ","  1,502,441 ","  1,489,601 ",#N/A,#N/A,#N/A,#N/A,#N/A
