Country,Metric,Geography level,Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Iceland,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,54.7%,66.3%,78.4%,78.7%,84.3%,
Iceland,VHCN coverage (as defined by BEREC),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Iceland,DSL,Rural,% of Rural Households,60.2%,61.3%,61.4%,64.2%,67.0%,65.2%,64.6%,57.5%,48.9%,48.0%,49.5%,
Iceland,VDSL,Rural,% of Rural Households,5.4%,18.9%,20.0%,22.9%,24.6%,24.6%,22.0%,14.8%,7.6%,7.6%,49.5%,
Iceland,VDSL 2 Vectoring,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.6%,1.0%,0.7%,0.8%,1.2%,
Iceland,FTTP,Rural,% of Rural Households,2.1%,2.3%,2.3%,24.0%,29.1%,39.4%,54.7%,66.3%,78.4%,78.7%,83.9%,
Iceland,Cable modem DOCSIS 3.0,Rural,% of Rural Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.0%,0.9%,0.9%,
Iceland,Cable modem DOCSIS 3.1,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,1.0%,0.9%,0.9%,
Iceland,FWA,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20.6%,20.6%,19.6%,19.1%,19.1%,
Iceland,LTE,Rural,% of Rural Households,0.0%,47.9%,58.7%,90.6%,94.9%,98.7%,99.1%,99.1%,93.9%,94.1%,#N/A,
Iceland,5G,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,6.7%,7.9%,11.8%,
Iceland,5G in the 3.4–3.8 GHz band,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Iceland,Satellite,Rural,% of Rural Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Iceland,Overall broadband coverage,Rural,% of Rural Households,96.6%,97.8%,98.0%,99.6%,99.7%,100.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Iceland,DOCSIS 3.0 & FTTP coverage,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,29.1%,39.4%,#N/A,#N/A,#N/A,#N/A,#N/A,
Iceland,WiMAX,Rural,% of Rural Households,6.6%,7.0%,7.0%,0.0%,0.0%,27.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Iceland,Cable modem,Rural,% of Rural Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Iceland,HSPA,Rural,% of Rural Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Ireland,Households,Rural,###,68292099%,65251052%,65290370%,65290370%,58772203%,59357556%,57740352%,68415793%,67767380%,68282303%,68760678%,
Ireland,Fixed broadband coverage,Rural,% of Rural Households,93.5%,93.3%,93.3%,93.3%,94.8%,95.0%,96.1%,96.2%,97.0%,97.3%,92.7%,
Ireland,NGA coverage,Rural,% of Rural Households,6.6%,22.1%,44.9%,53.2%,78.6%,89.7%,90.3%,91.2%,93.5%,94.1%,86.8%,
Ireland,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13.5%,24.0%,45.8%,57.2%,65.5%,
Ireland,VHCN coverage (as defined by BEREC),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Ireland,DSL,Rural,% of Rural Households,88.1%,86.8%,86.8%,87.9%,87.0%,89.0%,89.0%,89.0%,92.3%,92.3%,81.3%,
Ireland,VDSL,Rural,% of Rural Households,5.7%,21.6%,44.2%,48.9%,73.1%,84.9%,86.3%,86.2%,86.8%,86.8%,66.5%,
Ireland,VDSL 2 Vectoring,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.3%,24.9%,45.8%,51.8%,54.7%,
Ireland,FTTP,Rural,% of Rural Households,0.0%,0.0%,0.0%,1.2%,1.2%,2.7%,13.5%,20.6%,43.1%,54.3%,62.7%,
Ireland,Cable modem DOCSIS 3.0,Rural,% of Rural Households,2.3%,2.4%,2.4%,2.4%,3.4%,3.4%,3.7%,3.7%,3.8%,3.8%,3.8%,
Ireland,Cable modem DOCSIS 3.1,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,3.6%,3.4%,3.7%,3.4%,
Ireland,FWA,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17.6%,17.8%,19.4%,19.4%,19.4%,
Ireland,LTE,Rural,% of Rural Households,2.5%,64.6%,73.0%,91.2%,91.6%,92.7%,97.0%,97.4%,97.4%,97.4%,#N/A,
Ireland,5G,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,36.2%,58.3%,62.3%,
Ireland,5G in the 3.4–3.8 GHz band,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.8%,10.5%,
Ireland,Satellite,Rural,% of Rural Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Ireland,Overall broadband coverage,Rural,% of Rural Households,95.2%,95.0%,95.0%,99.0%,99.8%,99.4%,#N/A,#N/A,#N/A,#N/A,#N/A,
Ireland,DOCSIS 3.0 & FTTP coverage,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,4.3%,5.5%,#N/A,#N/A,#N/A,#N/A,#N/A,
Ireland,WiMAX,Rural,% of Rural Households,20.4%,20.4%,20.4%,20.4%,17.6%,17.6%,#N/A,#N/A,#N/A,#N/A,#N/A,
Ireland,Cable modem,Rural,% of Rural Households,2.7%,2.6%,2.6%,2.6%,3.6%,3.6%,#N/A,#N/A,#N/A,#N/A,#N/A,
Ireland,HSPA,Rural,% of Rural Households,86.5%,85.3%,85.4%,97.9%,99.5%,97.2%,#N/A,#N/A,#N/A,#N/A,#N/A,
Italy,Households,Rural,###,313150548%,307083011%,311130922%,308509127%,307554713%,306810008%,303927061%,263668531%,263594201%,296219077%,295745751%,
Italy,Fixed broadband coverage,Rural,% of Rural Households,95.2%,93.1%,94.0%,94.3%,94.8%,97.4%,97.3%,98.2%,99.1%,99.4%,99.9%,
Italy,NGA coverage,Rural,% of Rural Households,0.0%,0.0%,3.1%,15.8%,39.2%,43.4%,68.4%,76.2%,88.4%,91.1%,93.6%,
Italy,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.1%,8.4%,17.3%,26.0%,37.7%,
Italy,VHCN coverage (as defined by BEREC),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,75.8%,
Italy,DSL,Rural,% of Rural Households,90.3%,88.3%,89.4%,89.4%,90.9%,97.4%,97.3%,98.2%,98.9%,98.8%,98.9%,
Italy,VDSL,Rural,% of Rural Households,0.0%,0.0%,3.1%,15.0%,38.4%,42.6%,68.4%,76.9%,85.7%,86.8%,87.1%,
Italy,VDSL 2 Vectoring,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11.6%,16.7%,28.0%,33.9%,34.4%,
Italy,FTTP,Rural,% of Rural Households,0.0%,0.0%,0.0%,0.8%,0.8%,0.8%,2.1%,8.4%,17.3%,26.0%,37.7%,
Italy,Cable modem DOCSIS 3.0,Rural,% of Rural Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Italy,Cable modem DOCSIS 3.1,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,0.0%,0.0%,
Italy,FWA,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41.0%,57.9%,97.2%,96.8%,99.9%,
Italy,LTE,Rural,% of Rural Households,0.7%,16.1%,26.8%,85.5%,89.2%,90.7%,95.0%,94.7%,99.9%,100.0%,#N/A,
Italy,5G,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,99.8%,99.8%,98.3%,
Italy,5G in the 3.4–3.8 GHz band,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,53.3%,68.9%,
Italy,Satellite,Rural,% of Rural Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Italy,Overall broadband coverage,Rural,% of Rural Households,95.2%,95.7%,96.7%,98.2%,98.4%,99.7%,#N/A,#N/A,#N/A,#N/A,#N/A,
Italy,DOCSIS 3.0 & FTTP coverage,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,0.8%,0.8%,#N/A,#N/A,#N/A,#N/A,#N/A,
Italy,WiMAX,Rural,% of Rural Households,38.2%,47.2%,47.1%,45.1%,45.1%,45.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Italy,Cable modem,Rural,% of Rural Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,#N/A,
Italy,HSPA,Rural,% of Rural Households,76.5%,81.5%,86.3%,94.9%,95.0%,95.8%,#N/A,#N/A,#N/A,#N/A,#N/A,
Lithuania,Households,Rural,###,44864987%,40585392%,40087493%,38607734%,38073513%,37392183%,35655248%,36374516%,35606164%,33717481%,33582312%,
Lithuania,Fixed broadband coverage,Rural,% of Rural Households,56.1%,58.3%,59.8%,61.3%,63.8%,66.3%,65.5%,66.7%,64.0%,68.4%,69.4%,
Lithuania,NGA coverage,Rural,% of Rural Households,7.4%,12.4%,15.6%,18.0%,24.5%,27.5%,28.7%,29.6%,51.8%,62.1%,62.5%,
Lithuania,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22.5%,23.3%,37.1%,39.5%,41.1%,
Lithuania,VHCN coverage (as defined by BEREC),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,94.6%,
Lithuania,DSL,Rural,% of Rural Households,48.1%,48.4%,48.8%,49.1%,49.3%,50.2%,51.6%,52.6%,62.6%,61.3%,61.4%,
Lithuania,VDSL,Rural,% of Rural Households,0.0%,0.0%,0.0%,0.0%,0.8%,0.9%,0.9%,1.0%,38.5%,52.6%,53.3%,
Lithuania,VDSL 2 Vectoring,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,52.6%,53.3%,
Lithuania,FTTP,Rural,% of Rural Households,7.4%,12.4%,15.6%,18.0%,19.5%,21.8%,22.5%,23.3%,37.5%,39.5%,41.1%,
Lithuania,Cable modem DOCSIS 3.0,Rural,% of Rural Households,0.0%,0.0%,0.0%,0.1%,0.2%,0.3%,0.4%,0.5%,0.5%,0.5%,0.5%,
Lithuania,Cable modem DOCSIS 3.1,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,0.0%,0.0%,
Lithuania,FWA,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,6.9%,13.4%,
Lithuania,LTE,Rural,% of Rural Households,0.0%,36.0%,68.8%,96.9%,97.0%,97.3%,99.9%,99.9%,100.0%,99.9%,#N/A,
Lithuania,5G,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.8%,75.6%,96.4%,
Lithuania,5G in the 3.4–3.8 GHz band,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.6%,8.2%,
Lithuania,Satellite,Rural,% of Rural Households,50.0%,50.0%,50.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Lithuania,Overall broadband coverage,Rural,% of Rural Households,94.1%,98.1%,98.4%,98.9%,99.2%,99.4%,#N/A,#N/A,#N/A,#N/A,#N/A,
Lithuania,DOCSIS 3.0 & FTTP coverage,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,24.1%,27.1%,#N/A,#N/A,#N/A,#N/A,#N/A,
Lithuania,WiMAX,Rural,% of Rural Households,10.6%,9.0%,8.1%,7.2%,2.3%,1.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Lithuania,Cable modem,Rural,% of Rural Households,0.0%,0.0%,0.0%,7.5%,8.5%,9.5%,#N/A,#N/A,#N/A,#N/A,#N/A,
Lithuania,HSPA,Rural,% of Rural Households,94.1%,95.6%,96.4%,98.1%,98.4%,99.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Latvia,Households,Rural,###,22180919%,22278678%,21917094%,21417760%,20447246%,20825076%,21583091%,20454965%,18979167%,18937453%,18792075%,
Latvia,Fixed broadband coverage,Rural,% of Rural Households,50.7%,49.1%,45.8%,44.2%,44.2%,41.5%,34.1%,33.7%,35.1%,35.0%,31.6%,
Latvia,NGA coverage,Rural,% of Rural Households,5.0%,11.8%,14.3%,16.0%,18.1%,18.4%,18.2%,20.2%,22.5%,25.4%,24.7%,
Latvia,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.2%,10.0%,11.0%,11.2%,13.1%,
Latvia,VHCN coverage (as defined by BEREC),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14.2%,
Latvia,DSL,Rural,% of Rural Households,34.0%,31.5%,30.3%,31.0%,28.7%,30.0%,26.8%,25.9%,26.9%,26.7%,26.3%,
Latvia,VDSL,Rural,% of Rural Households,0.0%,8.1%,10.2%,11.5%,13.9%,13.9%,13.5%,15.1%,17.0%,19.8%,18.3%,
Latvia,VDSL 2 Vectoring,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,15.0%,17.0%,19.8%,17.9%,
Latvia,FTTP,Rural,% of Rural Households,5.0%,7.4%,7.6%,8.4%,8.3%,8.9%,9.2%,10.0%,11.0%,11.2%,11.7%,
Latvia,Cable modem DOCSIS 3.0,Rural,% of Rural Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Latvia,Cable modem DOCSIS 3.1,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,0.0%,0.0%,
Latvia,FWA,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.4%,5.4%,5.4%,5.4%,5.4%,
Latvia,LTE,Rural,% of Rural Households,0.0%,4.2%,61.4%,93.2%,94.2%,94.5%,99.8%,99.8%,99.8%,99.8%,#N/A,
Latvia,5G,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,0.0%,
Latvia,5G in the 3.4–3.8 GHz band,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,
Latvia,Satellite,Rural,% of Rural Households,20.3%,20.3%,20.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Latvia,Overall broadband coverage,Rural,% of Rural Households,98.3%,98.7%,98.7%,100.0%,100.0%,100.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Latvia,DOCSIS 3.0 & FTTP coverage,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,72.9%,73.6%,#N/A,#N/A,#N/A,#N/A,#N/A,
Latvia,WiMAX,Rural,% of Rural Households,28.4%,28.6%,24.1%,24.7%,15.7%,17.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Latvia,Cable modem,Rural,% of Rural Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Latvia,HSPA,Rural,% of Rural Households,96.5%,97.3%,97.3%,90.0%,90.0%,91.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Luxembourg,Households,Rural,###,2988424%,3083400%,3087100%,2632648%,2694803%,2762228%,2815250%,2870848%,2803852%,2842463%,2865815%,
Luxembourg,Fixed broadband coverage,Rural,% of Rural Households,100.0%,100.0%,100.0%,99.9%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Luxembourg,NGA coverage,Rural,% of Rural Households,94.1%,94.0%,94.1%,94.1%,94.3%,94.6%,94.9%,95.1%,95.3%,95.3%,90.5%,
Luxembourg,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,77.2%,77.9%,78.6%,79.1%,80.3%,
Luxembourg,VHCN coverage (as defined by BEREC),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,80.3%,
Luxembourg,DSL,Rural,% of Rural Households,100.0%,99.9%,99.9%,99.7%,99.7%,97.0%,93.0%,86.0%,82.8%,66.5%,53.7%,
Luxembourg,VDSL,Rural,% of Rural Households,88.2%,88.1%,88.3%,88.2%,89.1%,85.8%,81.0%,83.0%,79.6%,63.2%,52.6%,
Luxembourg,VDSL 2 Vectoring,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.6%,15.1%,21.2%,28.7%,31.7%,
Luxembourg,FTTP,Rural,% of Rural Households,27.0%,28.0%,29.0%,35.0%,35.1%,37.0%,41.5%,48.5%,51.1%,58.2%,60.3%,
Luxembourg,Cable modem DOCSIS 3.0,Rural,% of Rural Households,0.0%,0.0%,0.0%,0.0%,0.0%,32.6%,33.0%,62.9%,60.1%,57.3%,55.9%,
Luxembourg,Cable modem DOCSIS 3.1,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,33.0%,62.9%,60.1%,54.5%,54.8%,
Luxembourg,FWA,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,0.0%,0.0%,
Luxembourg,LTE,Rural,% of Rural Households,58.0%,89.5%,91.2%,91.3%,95.2%,95.9%,99.6%,99.6%,99.8%,99.7%,#N/A,
Luxembourg,5G,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,6.7%,46.7%,96.9%,
Luxembourg,5G in the 3.4–3.8 GHz band,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14.0%,14.1%,
Luxembourg,Satellite,Rural,% of Rural Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Luxembourg,Overall broadband coverage,Rural,% of Rural Households,100.0%,100.0%,100.0%,99.9%,99.9%,100.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Luxembourg,DOCSIS 3.0 & FTTP coverage,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,35.1%,53.3%,#N/A,#N/A,#N/A,#N/A,#N/A,
Luxembourg,WiMAX,Rural,% of Rural Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Luxembourg,Cable modem,Rural,% of Rural Households,50.2%,52.8%,42.1%,46.3%,44.5%,32.6%,#N/A,#N/A,#N/A,#N/A,#N/A,
Luxembourg,HSPA,Rural,% of Rural Households,99.6%,99.6%,99.6%,99.2%,99.2%,99.2%,#N/A,#N/A,#N/A,#N/A,#N/A,
Malta,Households,Rural,###,148795%,145193%,156013%,167310%,169170%,178716%,178519%,173974%,108596%,108932%,110681%,
Malta,Fixed broadband coverage,Rural,% of Rural Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,NGA coverage,Rural,% of Rural Households,99.5%,100.0%,99.9%,99.9%,99.9%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,VHCN coverage (as defined by BEREC),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100.0%,
Malta,DSL,Rural,% of Rural Households,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,VDSL,Rural,% of Rural Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Malta,VDSL 2 Vectoring,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,0.0%,0.0%,
Malta,FTTP,Rural,% of Rural Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.2%,
Malta,Cable modem DOCSIS 3.0,Rural,% of Rural Households,99.5%,100.0%,99.9%,99.9%,99.9%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,Cable modem DOCSIS 3.1,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,FWA,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,LTE,Rural,% of Rural Households,0.0%,0.0%,0.0%,51.1%,90.2%,91.8%,100.0%,100.0%,100.0%,100.0%,#N/A,
Malta,5G,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,100.0%,100.0%,
Malta,5G in the 3.4–3.8 GHz band,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.9%,6.0%,
Malta,Satellite,Rural,% of Rural Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Malta,Overall broadband coverage,Rural,% of Rural Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Malta,DOCSIS 3.0 & FTTP coverage,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,99.9%,99.9%,#N/A,#N/A,#N/A,#N/A,#N/A,
Malta,WiMAX,Rural,% of Rural Households,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Malta,Cable modem,Rural,% of Rural Households,99.5%,100.0%,100.0%,99.9%,99.9%,99.9%,#N/A,#N/A,#N/A,#N/A,#N/A,
Malta,HSPA,Rural,% of Rural Households,98.9%,95.7%,99.0%,99.2%,99.2%,99.2%,#N/A,#N/A,#N/A,#N/A,#N/A,
Netherlands,Households,Rural,###,29937731%,29740472%,29832601%,29746704%,29886468%,30067107%,31225108%,31817900%,31817900%,31817900%,31966300%,
Netherlands,Fixed broadband coverage,Rural,% of Rural Households,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,99.6%,98.6%,99.5%,
Netherlands,NGA coverage,Rural,% of Rural Households,70.9%,71.5%,72.4%,73.1%,73.3%,80.2%,80.5%,81.1%,81.5%,96.3%,97.8%,
Netherlands,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,39.6%,40.4%,67.6%,88.3%,89.4%,
Netherlands,VHCN coverage (as defined by BEREC),Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,89.4%,
Netherlands,DSL,Rural,% of Rural Households,78.9%,78.9%,78.9%,78.9%,78.9%,79.0%,80.1%,82.2%,82.5%,83.6%,82.3%,
Netherlands,VDSL,Rural,% of Rural Households,39.7%,51.1%,52.3%,53.8%,59.5%,60.4%,61.0%,62.2%,63.1%,64.3%,68.9%,
Netherlands,VDSL 2 Vectoring,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.4%,4.4%,39.1%,39.8%,42.3%,
Netherlands,FTTP,Rural,% of Rural Households,15.5%,16.7%,18.4%,19.9%,20.3%,22.7%,26.4%,27.2%,54.5%,76.4%,78.4%,
Netherlands,Cable modem DOCSIS 3.0,Rural,% of Rural Households,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%,28.5%,28.5%,28.5%,28.5%,26.9%,
Netherlands,Cable modem DOCSIS 3.1,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26.3%,26.3%,26.3%,26.3%,26.0%,
Netherlands,FWA,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,87.0%,87.0%,87.3%,87.8%,0.0%,
Netherlands,LTE,Rural,% of Rural Households,42.6%,95.5%,98.3%,98.2%,99.4%,99.4%,99.3%,99.3%,98.6%,100.0%,#N/A,
Netherlands,5G,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,96.8%,100.0%,100.0%,
Netherlands,5G in the 3.4–3.8 GHz band,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,
Netherlands,Satellite,Rural,% of Rural Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Netherlands,Overall broadband coverage,Rural,% of Rural Households,95.3%,98.8%,99.1%,99.1%,99.7%,99.7%,#N/A,#N/A,#N/A,#N/A,#N/A,
Netherlands,DOCSIS 3.0 & FTTP coverage,Rural,% of Rural Households,#N/A,#N/A,#N/A,#N/A,93.2%,80.3%,#N/A,#N/A,#N/A,#N/A,#N/A,
Netherlands,WiMAX,Rural,% of Rural Households,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Netherlands,Cable modem,Rural,% of Rural Households,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%,#N/A,#N/A,#N/A,#N/A,#N/A,
Netherlands,HSPA,Rural,% of Rural Households,90.5%,95.5%,98.3%,66.2%,99.4%,99.4%,#N/A,#N/A,#N/A,#N/A,#N/A,
Norway,Households,Rural,###,51498097%,51917458%,52269746%,43164969%,43661752%,49221700%,43740033%,53462177%,44070481%,44030362%,42245646%,
Norway,Fixed broadband coverage,Rural,% of Rural Households,86.8%,81.7%,77.4%,75.4%,74.7%,86.2%,93.8%,96.8%,91.0%,99.1%,99.4%,
Norway,NGA coverage,Rural,% of Rural Households,16.2%,31.2%,32.2%,36.9%,40.2%,48.5%,59.7%,70.5%,68.7%,73.6%,77.2%,
