Country,Metric,Geography level,Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Bulgaria,Broadband coverage (>1Gbps upload and download),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Bulgaria,Fixed broadband coverage,Total,% of Households,92.5%,95.1%,95.2%,95.2%,95.2%,95.5%,95.6%,95.7%,97.0%,98.9%,99.1%,
Bulgaria,NGA coverage,Total,% of Households,67.7%,69.4%,71.8%,74.1%,77.2%,80.5%,84.4%,87.6%,92.1%,94.4%,95.8%,
Bulgaria,Fixed VHCN coverage (FTTP & DOCSIS 3.1),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.2%,75.2%,81.4%,85.6%,88.6%,
Bulgaria,VHCN coverage (as defined by BEREC),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Bulgaria,DSL,Total,% of Households,85.0%,85.1%,85.1%,85.2%,85.2%,85.5%,85.5%,85.5%,85.4%,85.4%,85.5%,
Bulgaria,VDSL,Total,% of Households,0.0%,0.0%,0.0%,0.0%,0.0%,1.5%,8.8%,13.3%,18.2%,21.9%,22.5%,
Bulgaria,VDSL 2 Vectoring,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,0.0%,0.0%,
Bulgaria,FTTP,Total,% of Households,22.9%,28.3%,32.2%,38.2%,45.2%,54.2%,65.2%,75.2%,81.4%,85.6%,88.6%,
Bulgaria,Cable modem DOCSIS 3.0,Total,% of Households,57.7%,61.4%,62.9%,63.6%,64.2%,64.4%,68.7%,70.0%,70.5%,70.9%,70.9%,
Bulgaria,Cable modem DOCSIS 3.1,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,0.0%,0.0%,0.0%,0.0%,
Bulgaria,FWA,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18.8%,18.8%,18.8%,18.8%,18.8%,
Bulgaria,LTE,Total,% of Households,0.0%,36.1%,48.1%,76.5%,91.9%,98.7%,99.5%,99.9%,99.9%,99.9%,#N/A,
Bulgaria,Average LTE coverage,Total,% of Households,#N/A,#N/A,#N/A,65.7%,71.6%,79.7%,80.7%,80.8%,81.4%,#N/A,#N/A,
Bulgaria,5G,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0%,40.1%,67.2%,70.9%,
Bulgaria,5G in the 3.4–3.8 GHz band,Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,36.7%,45.1%,
Bulgaria,Satellite,Total,% of Households,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,
Bulgaria,Overall broadband coverage,Total,% of Households,99.8%,99.9%,100.0%,100.0%,100.0%,100.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Bulgaria,DOCSIS 3.0 & FTTP coverage,Total,% of Households,#N/A,#N/A,#N/A,#N/A,74.6%,74.6%,#N/A,#N/A,#N/A,#N/A,#N/A,
Bulgaria,Cable modem,Total,% of Households,62.5%,64.5%,64.9%,65.9%,66.6%,66.6%,#N/A,#N/A,#N/A,#N/A,#N/A,
Bulgaria,WiMAX,Total,% of Households,64.6%,64.6%,64.6%,0.0%,0.0%,0.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Bulgaria,HSPA,Total,% of Households,99.6%,99.6%,99.9%,100.0%,100.0%,100.0%,#N/A,#N/A,#N/A,#N/A,#N/A,
Croatia,Land area,Total,km squared,5638907.7%,5638907.7%,5638907.7%,5638907.7%,5638907.7%,5638907.7%,5638907.7%,5638907.7%,5625800.0%,5625800.0%,5625800.0%,
Croatia,Population,Total,###,439815000.0%,426214000.0%,424680900.0%,422531600.0%,421737700.0%,418374200.0%,410549300.0%,407624600.0%,405816526.2%,403635500.0%,382998900.0%,
Croatia,Households,Total,###,157488384.9%,152756084.1%,152219143.3%,151469845.2%,151170200.0%,149988070.5%,145533445.0%,142408973.3%,141363091.6%,141047760.5%,143544000.0%,
Croatia,Broadband coverage (>2Mbps),Total,% of Households,95.4%,95.8%,96.1%,96.4%,98.7%,99.8%,99.9%,99.9%,#N/A,#N/A,#N/A,
Croatia,Broadband coverage (>30Mbps),Total,% of Households,31.4%,44.9%,49.1%,52.3%,60.3%,84.5%,85.6%,86.3%,87.8%,88.0%,89.0%,
Croatia,Broadband coverage (>100Mbps),Total,% of Households,19.1%,21.8%,22.0%,25.3%,28.5%,37.7%,43.6%,46.2%,62.1%,67.4%,71.5%,
Croatia,Broadband coverage (>1Gbps),Total,% of Households,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.9%,21.8%,52.3%,57.6%,67.8%,
